ID,Minted,Max Supply,CollectionName,Symbol,CollectionDescription,CollectionIcon,CollectionIcon s3,Link to alphaverse website,Collection Hero Image,Collection Hero Image s3,Name of NFT,item Static Image,item Static Image s3,Animated URL,Animated URL s3,ItemDescription,Prop 1,,Prop 2,,Prop 3,
1,1,1,AlphaVerse / MetaCoaster,LAND,MetaCoaster is a great amusement park simulation game on the blockchain. Pick up a land and start building the park of your dreams. Enjoy the ride!,https://drive.google.com/file/d/1cX8c5rCqmfDgzzI9yZSmcsUYYqsMrt6v/view?usp=sharing,ADD,https://alphaverse.com/metacoaster-alphaverse/,https://drive.google.com/file/d/1HDH2693OAcAf4ngHgc-2I-JvFCHQAhbZ/view?usp=sharing,ADD,Land in MetaCoaster - Plot # 040:050,ADD,ADD,,,A great plot of land in the MetaWorld of MetaCoaster. Enjoy the ride!,Location,North-East Quadrant,District,New York City,Plot number,040:050
2,1,1,AlphaVerse / MetaCoaster,LAND,MetaCoaster is a great amusement park simulation game on the blockchain. Pick up a land and start building the park of your dreams. Enjoy the ride!,https://drive.google.com/file/d/1cX8c5rCqmfDgzzI9yZSmcsUYYqsMrt6v/view?usp=sharing,ADD,https://alphaverse.com/metacoaster-alphaverse/,https://drive.google.com/file/d/1HDH2693OAcAf4ngHgc-2I-JvFCHQAhbZ/view?usp=sharing,ADD,Land in MetaCoaster - Plot # 040:049,ADD,ADD,,,A great plot of land in the MetaWorld of MetaCoaster. Enjoy the ride!,Location,North-East Quadrant,District,New York City,Plot number,040:049
3,1,1,AlphaVerse / MetaCoaster,LAND,MetaCoaster is a great amusement park simulation game on the blockchain. Pick up a land and start building the park of your dreams. Enjoy the ride!,https://drive.google.com/file/d/1cX8c5rCqmfDgzzI9yZSmcsUYYqsMrt6v/view?usp=sharing,ADD,https://alphaverse.com/metacoaster-alphaverse/,https://drive.google.com/file/d/1HDH2693OAcAf4ngHgc-2I-JvFCHQAhbZ/view?usp=sharing,ADD,Land in MetaCoaster - Plot # 040:048,ADD,ADD,,,A great plot of land in the MetaWorld of MetaCoaster. Enjoy the ride!,Location,North-East Quadrant,District,New York City,Plot number,040:048
4,1,1,AlphaVerse / MetaCoaster,LAND,MetaCoaster is a great amusement park simulation game on the blockchain. Pick up a land and start building the park of your dreams. Enjoy the ride!,https://drive.google.com/file/d/1cX8c5rCqmfDgzzI9yZSmcsUYYqsMrt6v/view?usp=sharing,ADD,https://alphaverse.com/metacoaster-alphaverse/,https://drive.google.com/file/d/1HDH2693OAcAf4ngHgc-2I-JvFCHQAhbZ/view?usp=sharing,ADD,Land in MetaCoaster - Plot # 040:047,ADD,ADD,,,A great plot of land in the MetaWorld of MetaCoaster. Enjoy the ride!,Location,North-East Quadrant,District,New York City,Plot number,040:047
5,1,1,AlphaVerse / MetaCoaster,LAND,MetaCoaster is a great amusement park simulation game on the blockchain. Pick up a land and start building the park of your dreams. Enjoy the ride!,https://drive.google.com/file/d/1cX8c5rCqmfDgzzI9yZSmcsUYYqsMrt6v/view?usp=sharing,ADD,https://alphaverse.com/metacoaster-alphaverse/,https://drive.google.com/file/d/1HDH2693OAcAf4ngHgc-2I-JvFCHQAhbZ/view?usp=sharing,ADD,Land in MetaCoaster - Plot # 040:046,ADD,ADD,,,A great plot of land in the MetaWorld of MetaCoaster. Enjoy the ride!,Location,North-East Quadrant,District,New York City,Plot number,040:046
6,1,1,AlphaVerse / MetaCoaster,LAND,MetaCoaster is a great amusement park simulation game on the blockchain. Pick up a land and start building the park of your dreams. Enjoy the ride!,https://drive.google.com/file/d/1cX8c5rCqmfDgzzI9yZSmcsUYYqsMrt6v/view?usp=sharing,ADD,https://alphaverse.com/metacoaster-alphaverse/,https://drive.google.com/file/d/1HDH2693OAcAf4ngHgc-2I-JvFCHQAhbZ/view?usp=sharing,ADD,Land in MetaCoaster - Plot # 040:045,ADD,ADD,,,A great plot of land in the MetaWorld of MetaCoaster. Enjoy the ride!,Location,North-East Quadrant,District,New York City,Plot number,040:045
7,1,1,AlphaVerse / MetaCoaster,LAND,MetaCoaster is a great amusement park simulation game on the blockchain. Pick up a land and start building the park of your dreams. Enjoy the ride!,https://drive.google.com/file/d/1cX8c5rCqmfDgzzI9yZSmcsUYYqsMrt6v/view?usp=sharing,ADD,https://alphaverse.com/metacoaster-alphaverse/,https://drive.google.com/file/d/1HDH2693OAcAf4ngHgc-2I-JvFCHQAhbZ/view?usp=sharing,ADD,Land in MetaCoaster - Plot # 040:044,ADD,ADD,,,A great plot of land in the MetaWorld of MetaCoaster. Enjoy the ride!,Location,North-East Quadrant,District,New York City,Plot number,040:044
8,1,1,AlphaVerse / MetaCoaster,LAND,MetaCoaster is a great amusement park simulation game on the blockchain. Pick up a land and start building the park of your dreams. Enjoy the ride!,https://drive.google.com/file/d/1cX8c5rCqmfDgzzI9yZSmcsUYYqsMrt6v/view?usp=sharing,ADD,https://alphaverse.com/metacoaster-alphaverse/,https://drive.google.com/file/d/1HDH2693OAcAf4ngHgc-2I-JvFCHQAhbZ/view?usp=sharing,ADD,Land in MetaCoaster - Plot # 040:043,ADD,ADD,,,A great plot of land in the MetaWorld of MetaCoaster. Enjoy the ride!,Location,North-East Quadrant,District,New York City,Plot number,040:043
9,1,1,AlphaVerse / MetaCoaster,LAND,MetaCoaster is a great amusement park simulation game on the blockchain. Pick up a land and start building the park of your dreams. Enjoy the ride!,https://drive.google.com/file/d/1cX8c5rCqmfDgzzI9yZSmcsUYYqsMrt6v/view?usp=sharing,ADD,https://alphaverse.com/metacoaster-alphaverse/,https://drive.google.com/file/d/1HDH2693OAcAf4ngHgc-2I-JvFCHQAhbZ/view?usp=sharing,ADD,Land in MetaCoaster - Plot # 040:042,ADD,ADD,,,A great plot of land in the MetaWorld of MetaCoaster. Enjoy the ride!,Location,North-East Quadrant,District,New York City,Plot number,040:042
10,1,1,AlphaVerse / MetaCoaster,LAND,MetaCoaster is a great amusement park simulation game on the blockchain. Pick up a land and start building the park of your dreams. Enjoy the ride!,https://drive.google.com/file/d/1cX8c5rCqmfDgzzI9yZSmcsUYYqsMrt6v/view?usp=sharing,ADD,https://alphaverse.com/metacoaster-alphaverse/,https://drive.google.com/file/d/1HDH2693OAcAf4ngHgc-2I-JvFCHQAhbZ/view?usp=sharing,ADD,Land in MetaCoaster - Plot # 040:041,ADD,ADD,,,A great plot of land in the MetaWorld of MetaCoaster. Enjoy the ride!,Location,North-East Quadrant,District,New York City,Plot number,040:041
11,1,1,AlphaVerse / MetaCoaster,LAND,MetaCoaster is a great amusement park simulation game on the blockchain. Pick up a land and start building the park of your dreams. Enjoy the ride!,https://drive.google.com/file/d/1cX8c5rCqmfDgzzI9yZSmcsUYYqsMrt6v/view?usp=sharing,ADD,https://alphaverse.com/metacoaster-alphaverse/,https://drive.google.com/file/d/1HDH2693OAcAf4ngHgc-2I-JvFCHQAhbZ/view?usp=sharing,ADD,Land in MetaCoaster - Plot # 040:040,ADD,ADD,,,A great plot of land in the MetaWorld of MetaCoaster. Enjoy the ride!,Location,North-East Quadrant,District,New York City,Plot number,040:040
12,1,1,AlphaVerse / MetaCoaster,LAND,MetaCoaster is a great amusement park simulation game on the blockchain. Pick up a land and start building the park of your dreams. Enjoy the ride!,https://drive.google.com/file/d/1cX8c5rCqmfDgzzI9yZSmcsUYYqsMrt6v/view?usp=sharing,ADD,https://alphaverse.com/metacoaster-alphaverse/,https://drive.google.com/file/d/1HDH2693OAcAf4ngHgc-2I-JvFCHQAhbZ/view?usp=sharing,ADD,Land in MetaCoaster - Plot # 040:039,ADD,ADD,,,A great plot of land in the MetaWorld of MetaCoaster. Enjoy the ride!,Location,North-East Quadrant,District,New York City,Plot number,040:039
13,1,1,AlphaVerse / MetaCoaster,LAND,MetaCoaster is a great amusement park simulation game on the blockchain. Pick up a land and start building the park of your dreams. Enjoy the ride!,https://drive.google.com/file/d/1cX8c5rCqmfDgzzI9yZSmcsUYYqsMrt6v/view?usp=sharing,ADD,https://alphaverse.com/metacoaster-alphaverse/,https://drive.google.com/file/d/1HDH2693OAcAf4ngHgc-2I-JvFCHQAhbZ/view?usp=sharing,ADD,Land in MetaCoaster - Plot # 040:038,ADD,ADD,,,A great plot of land in the MetaWorld of MetaCoaster. Enjoy the ride!,Location,North-East Quadrant,District,New York City,Plot number,040:038
14,1,1,AlphaVerse / MetaCoaster,LAND,MetaCoaster is a great amusement park simulation game on the blockchain. Pick up a land and start building the park of your dreams. Enjoy the ride!,https://drive.google.com/file/d/1cX8c5rCqmfDgzzI9yZSmcsUYYqsMrt6v/view?usp=sharing,ADD,https://alphaverse.com/metacoaster-alphaverse/,https://drive.google.com/file/d/1HDH2693OAcAf4ngHgc-2I-JvFCHQAhbZ/view?usp=sharing,ADD,Land in MetaCoaster - Plot # 040:037,ADD,ADD,,,A great plot of land in the MetaWorld of MetaCoaster. Enjoy the ride!,Location,North-East Quadrant,District,New York City,Plot number,040:037
15,1,1,AlphaVerse / MetaCoaster,LAND,MetaCoaster is a great amusement park simulation game on the blockchain. Pick up a land and start building the park of your dreams. Enjoy the ride!,https://drive.google.com/file/d/1cX8c5rCqmfDgzzI9yZSmcsUYYqsMrt6v/view?usp=sharing,ADD,https://alphaverse.com/metacoaster-alphaverse/,https://drive.google.com/file/d/1HDH2693OAcAf4ngHgc-2I-JvFCHQAhbZ/view?usp=sharing,ADD,Land in MetaCoaster - Plot # 040:036,ADD,ADD,,,A great plot of land in the MetaWorld of MetaCoaster. Enjoy the ride!,Location,North-East Quadrant,District,New York City,Plot number,040:036
16,1,1,AlphaVerse / MetaCoaster,LAND,MetaCoaster is a great amusement park simulation game on the blockchain. Pick up a land and start building the park of your dreams. Enjoy the ride!,https://drive.google.com/file/d/1cX8c5rCqmfDgzzI9yZSmcsUYYqsMrt6v/view?usp=sharing,ADD,https://alphaverse.com/metacoaster-alphaverse/,https://drive.google.com/file/d/1HDH2693OAcAf4ngHgc-2I-JvFCHQAhbZ/view?usp=sharing,ADD,Land in MetaCoaster - Plot # 040:035,ADD,ADD,,,A great plot of land in the MetaWorld of MetaCoaster. Enjoy the ride!,Location,North-East Quadrant,District,New York City,Plot number,040:035
17,1,1,AlphaVerse / MetaCoaster,LAND,MetaCoaster is a great amusement park simulation game on the blockchain. Pick up a land and start building the park of your dreams. Enjoy the ride!,https://drive.google.com/file/d/1cX8c5rCqmfDgzzI9yZSmcsUYYqsMrt6v/view?usp=sharing,ADD,https://alphaverse.com/metacoaster-alphaverse/,https://drive.google.com/file/d/1HDH2693OAcAf4ngHgc-2I-JvFCHQAhbZ/view?usp=sharing,ADD,Land in MetaCoaster - Plot # 040:034,ADD,ADD,,,A great plot of land in the MetaWorld of MetaCoaster. Enjoy the ride!,Location,North-East Quadrant,District,New York City,Plot number,040:034
18,1,1,AlphaVerse / MetaCoaster,LAND,MetaCoaster is a great amusement park simulation game on the blockchain. Pick up a land and start building the park of your dreams. Enjoy the ride!,https://drive.google.com/file/d/1cX8c5rCqmfDgzzI9yZSmcsUYYqsMrt6v/view?usp=sharing,ADD,https://alphaverse.com/metacoaster-alphaverse/,https://drive.google.com/file/d/1HDH2693OAcAf4ngHgc-2I-JvFCHQAhbZ/view?usp=sharing,ADD,Land in MetaCoaster - Plot # 040:033,ADD,ADD,,,A great plot of land in the MetaWorld of MetaCoaster. Enjoy the ride!,Location,North-East Quadrant,District,New York City,Plot number,040:033
19,1,1,AlphaVerse / MetaCoaster,LAND,MetaCoaster is a great amusement park simulation game on the blockchain. Pick up a land and start building the park of your dreams. Enjoy the ride!,https://drive.google.com/file/d/1cX8c5rCqmfDgzzI9yZSmcsUYYqsMrt6v/view?usp=sharing,ADD,https://alphaverse.com/metacoaster-alphaverse/,https://drive.google.com/file/d/1HDH2693OAcAf4ngHgc-2I-JvFCHQAhbZ/view?usp=sharing,ADD,Land in MetaCoaster - Plot # 040:032,ADD,ADD,,,A great plot of land in the MetaWorld of MetaCoaster. Enjoy the ride!,Location,North-East Quadrant,District,New York City,Plot number,040:032
